#
#"Frequency / GHz"	"S1,6 [Magnitude in dB]"
#------------------------------------------
1.7999999523163	-45.255209931699
1.8020000457764	-45.201562023559
1.8040000200272	-45.146485155557
1.8059999942780	-45.089998267927
1.8079999685287	-45.032131495353
1.8099999427795	-44.972932013144
1.8120000362396	-44.912454657737
1.8140000104904	-44.850767261386
1.8159999847412	-44.787949743794
1.8179999589920	-44.724087383476
1.8200000524521	-44.659279740450
1.8220000267029	-44.593629278190
1.8240000009537	-44.527247862619
1.8259999752045	-44.460252697855
1.8279999494553	-44.392766021280
1.8300000429153	-44.324913008272
1.8320000171661	-44.256821753084
1.8339999914169	-44.188623716402
1.8359999656677	-44.120449396412
1.8380000591278	-44.052432488595
1.8400000333786	-43.984702475557
1.8420000076294	-43.917392636941
1.8439999818802	-43.850632953213
1.8459999561310	-43.784548311938
1.8480000495911	-43.719267856772
1.8500000238419	-43.654911401189
1.8519999980927	-43.591602420721
1.8539999723434	-43.529456409124
1.8559999465942	-43.468588293067
1.8580000400543	-43.409109791872
1.8600000143051	-43.351128839017
1.8619999885559	-43.294751561508
1.8639999628067	-43.240081117350
