,frequency,fouriercoef
2156,5.17440002803802,(0.677411739649008-0.667564519967546j)
2157,5.176799987411499,(0.6734057817448917-0.7280409684395046j)
2158,5.179200006389619,(0.6667417809680813-0.7787366070476125j)
2159,5.18160002536774,(0.6564979351506892-0.8188307604644605j)
2160,5.1839999847412095,(0.6417331974992386-0.8477021182538067j)
2161,5.18640000371933,(0.6214861537140806-0.8648882449126933j)
2162,5.188800022697449,(0.5948431810896384-0.8701842170955114j)
2163,5.19119998207092,(0.5609108576343829-0.8635309334235526j)
2164,5.19360000104904,(0.5189331003167776-0.8451788909638438j)
2165,5.196000020027159,(0.4682506739058656-0.8155540338482439j)
2166,5.19839997940063,(0.4083706114406027-0.7753256746291903j)
2167,5.200799998378749,(0.3389694665077041-0.725353040381977j)
2168,5.2032000173568695,(0.2599671639265537-0.6667253122354104j)
2169,5.20559997673035,(0.1715034542861762-0.6006825854234421j)
2170,5.2079999957084695,(0.07398822991759424-0.5286226854929534j)
2171,5.21040001468658,(-0.031925207216806584-0.45203933494958903j)
2172,5.21279997406006,(-0.14533166706081246-0.3724777933714982j)
2173,5.21519999303818,(-0.26501186562020074-0.29155431069937165j)
2174,5.2176000120163,(-0.38954399024169106-0.2108252389742411j)
2175,5.219999971389769,(-0.5172525986467438-0.13180197727309562j)
2176,5.22239999036789,(-0.64626653501346-0.055872586284468895j)
2177,5.224800009346009,(-0.7745424853341767+0.01572396813326904j)
2178,5.2272000283241296,(-0.8998907090437696+0.081936187855284j)
2179,5.2295999876976005,(-1.020038613672984+0.1419433701979429j)
2180,5.23200000667572,(-1.1326608699700316+0.1951712483687693j)
2181,5.23440002565384,(-1.235447544856668+0.24131464809858727j)
2182,5.236799985027309,(-1.3261508781201687+0.2803434803709983j)
2183,5.23920000400543,(-1.4026385445235823+0.3124997360249786j)
2184,5.241600022983549,(-1.46296698810719+0.3382802899666508j)
2185,5.24399998235703,(-1.5054514852400622+0.3584262428368845j)
2186,5.2464000013351395,(-1.528703077035135+0.3738621071640722j)
2187,5.24880002031326,(-1.5317426518756068+0.3856797841109234j)
2188,5.2511999796867395,(-1.5140175262284372+0.3950560386485584j)
2189,5.253599998664859,(-1.4754916284039095+0.4031987672070976j)
2190,5.25600001764297,(-1.4166862225059065+0.4112750639594296j)
2191,5.25839997701645,(-1.3387251176116057+0.42033136551062j)
2192,5.260799995994569,(-1.243371201590683+0.43121357073462363j)
2193,5.26320001497269,(-1.1330272481246784+0.4444947831340862j)
